status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls
115634898452178_1345720722110250,"Politsei sai täna kell 17.20 teate Harjumaal juhtunud liiklusõnnetusest, kus esialgseil andmeil terviserikke tõttu kurvist välja sõitnud juhi autos hukkus kaasreisija.","Juht sõitis terviserikke tõttu autoga teelt välja, hukkus kaasreisija",link,http://tallinncity.postimees.ee/3731321/juht-soitis-terviserikke-tottu-autoga-teelt-valja-hukkus-kaasreisija?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731321&utm_campaign=fb_post,2016-06-13 12:15:01,28,0,3,13,1,0,0,14,0,0
115634898452178_1345719042110418,,Millised toidud soodustavad seedimist?,link,http://naine24.postimees.ee/3731101/millised-toidud-soodustavad-seedimist?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731101&utm_campaign=fb_post,2016-06-13 12:00:00,11,0,3,10,1,0,0,0,0,0
115634898452178_1345718778777111,"Ilmateenistuse prognoosi järgi tuleb alanud nädalal sooja kuni 24 kraadi, kuid mitte kõik päevad pole päikeselised - oodata on ka vihma, äikest ja tugevat tuult.","Alanud nädal toob kuni 24 kraadi sooja, vihmahooge ja äikest",link,http://ilmajaam.postimees.ee/3730105/alanud-nadal-toob-kuni-24-kraadi-sooja-vihmahooge-ja-aikest?_ga=1.13929463.1144324660.1465601652&utm_source=pm_fb&utm_medium=wallpost&utm_content=3730105&utm_campaign=fb_post,2016-06-13 11:45:00,136,6,26,121,5,3,1,6,0,0
115634898452178_1345664878782501,"Toiduainete üleküpsemise ja seeläbi minema viskamise vältimiseks tasub järgida mõnd soovitust, et need kauem värske ja maitsvana säiliks.","Kasulikke nippe, kuidas toiduaineid kauem värskena hoida",link,http://tarbija24.postimees.ee/3730735/kasulikke-nippe-kuidas-toiduaineid-kauem-varskena-hoida?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730735&utm_campaign=fb_post,2016-06-13 11:30:00,3,0,7,3,0,0,0,0,0,0
115634898452178_1345664698782519,"22. mai pärastlõunal läks Soomest Kukrusele sugulastele külla sõitnud Andrei jalutama ning jäi seejärel kadunuks. Politsei teatas täna, et mees leiti surnuna.",Mai lõpus kadunud mees leiti surnuna,link,http://www.postimees.ee/3707213/mai-lopus-kadunud-mees-leiti-surnuna?utm_source=pm_fb&utm_medium=wallpost&utm_content=3707213&utm_campaign=fb_post,2016-06-13 11:15:00,23,3,15,12,0,0,0,11,0,0
115634898452178_1345664485449207,Ameeriklasest MMA võitleja Ivan Cole mängis laupäeval oma korteris vene ruletti ning tegi enesetapu.,Halb õnn vene ruletis maksis MMA-võitleja elu,link,http://sport.postimees.ee/3730901/halb-onn-vene-ruletis-maksis-mma-voitleja-elu?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730901&utm_campaign=fb_post,2016-06-13 11:00:00,44,9,17,26,0,10,1,6,1,0
115634898452178_1345602982122024,"Kana Monique ja tema peremees Guirec Soudée on tandem, kes on otsustanud koos maailmale tiiru peale teha.",Video: õnnelik kana reisib koos peremehega mööda maailma,link,http://lemmik.postimees.ee/3730777/video-onnelik-kana-reisib-koos-peremehega-mooda-maailma?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730777&utm_campaign=fb_post,2016-06-13 10:45:00,61,0,9,52,1,1,7,0,0,0
115634898452178_1345601148788874,"Vaatamata sellele, et Titanicu reis lõppes 104 aastat tagasi katastroofiga, on tegu ilmselt kõige luksuslikuma laevaga läbi ajaloo.",Mida oleks saanud Titanicu kõige kallima pileti eest?,link,http://reis.postimees.ee/3730507/mida-oleks-saanud-titanicu-koige-kallima-pileti-eest?utm_source=pm_fb&utm_medium=wallpost&utm_content=3730507&utm_campaign=fb_post,2016-06-13 10:30:00,20,1,3,20,0,0,0,0,0,0
115634898452178_1345600775455578,Viljandi–Ramsi teel Sinialliku oja juures läks viljakoormaga sõidukil luuk lahti. Mahapudenenud vili mattis suure osa teest paarisaja meetri ulatuses enda alla.,Pildid: koormast pääsenud vili võttis maantee enda alla,link,http://sakala.postimees.ee/3730863/pildid-koormast-paasenud-vili-vottis-maantee-enda-alla?_ga=1.8710389.1144324660.1465601652&utm_source=pm_fb&utm_medium=wallpost&utm_content=3730863&utm_campaign=fb_post,2016-06-13 10:15:00,29,4,20,22,0,3,2,2,0,0
115634898452178_1313696041979385,"Vahvat õhtut!
---
See Briti pikakarvaline kiisu on tõeline proff kaamera ees poseerimises ja näeb fotodel igast küljest täiesti suurepärane välja! Smoothie ülimat fotogeenilisust tõestab ka fakt, et vahval karvakeral on Instagramis juba üle 100,000 jälgija! Neid nunnusid fotosid vaadates pead ka ise kindlasti tõdema, et tegu on ühe tõeliselt ilusa isendiga!",Saa tuttavaks Smoothie'ga – kõige fotogeenilisema kassiga maailmas!,link,http://meeldib.postimees.ee/2016/04/saa-tuttavaks-smoothiega-koige-fotogeenilisema-kassiga-maailmas/?utm_source=pm_fb&utm_medium=wallpost&utm_campaign=meeldib,2016-06-13 10:10:00,539,9,31,497,38,4,0,0,0,0
